project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Lodha Palava City,3650000.0,421,1,1,Dombivli,Beyond Thane,19.2094006,73.0939483,Semi-Furnished,Apartment,0,56,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava City,5000000.0,392,1,1,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,56,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava City,5500000.0,457,2,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Semi-Furnished,Apartment,0,56,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava City,4200000.0,339,1,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,56,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava City,5600000.0,421,2,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Furnished,Apartment,0,56,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava City,8000000.0,546,2,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,56,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Palava City,11000000.0,764,2,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Semi-Furnished,Apartment,0,56,8,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Rio Gold,5400000.0,,1,1,Palava City,Beyond Thane,19.1680134933867,73.0730851842052,Unfurnished,Apartment,0,10,6,Resale,Ready to Move,1 Open,Lodha Developers Limited
Suresh Complex,3600000.0,485,2,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Semi-Furnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
santoshi mata apartment,7200000.0,650,2,2,Thakurli,Beyond Thane,19.2252747701219,73.1000690723917,Semi-Furnished,Apartment,0,0,1,Resale,Ready to Move,,Unknown
Siddharth Riverwood Park,7500000.0,,2,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Furnished,Apartment,0,50,5,Resale,Ready to Move,,Siddharth Group
JP Harmony,2800000.0,,1,2,Ambernath East,Beyond Thane,19.2075883274914,73.1854898657514,Semi-Furnished,Apartment,0,17,1,Resale,Ready to Move,,JP Developers
Unkown,5000000.0,512,1,1,Dombivli West,Beyond Thane,19.2174682509913,73.0750339345098,Semi-Furnished,Apartment,0,0,2,Resale,Ready to Move,"15 Covered, 55 Open",Unknown
Lok Nagari Phase 3,4000000.0,550,1,1,Ambernath,Beyond Thane,19.1986487504664,73.2004913077756,Semi-Furnished,Apartment,0,25,6,Resale,Ready to Move,,Lok Housing Group
Banjara Hills,3000000.0,,,,Shahapur,Beyond Thane,19.453550664726,73.3247044251021,,Residential Plot,0,8,2,Resale,,,Soft Corner
Unkown,1600000.0,,,,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Studio Apartment,0,0,8,Resale,Ready to Move,,Unknown
Unkown,3000000.0,,1,2,Nilje Gaon,Beyond Thane,19.158064093334,73.0831413121874,Semi-Furnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Tata Amantra,5100000.0,625,2,1,Kalyan,Beyond Thane,19.2449413625186,73.1331398884041,Semi-Furnished,Apartment,0,20,8,Resale,Ready to Move,1 Open,TATA Housing Development Company Ltd.
Sanghvi Paradise,2600000.0,,2,2,Asangaon,Beyond Thane,19.4390197,73.3030715,Unfurnished,Apartment,0,29,2,Resale,Ready to Move,,Sanghvi Group
Unkown,2600000.0,398,1,1,Badlapur West,Beyond Thane,19.1760975692482,73.2401614495576,Unfurnished,Apartment,0,0,0,New Property,Ready to Move,,Unknown
Unkown,650000.0,490,1,2,Ambernath West,Beyond Thane,19.2107415190685,73.1908213734783,Unfurnished,Apartment,0,0,2,Resale,Ready to Move,,Unknown
Unkown,3310000.0,450,1,1,Ambernath,Beyond Thane,19.1986487504664,73.2004913077756,Furnished,Apartment,0,0,6,Resale,Ready to Move,,Unknown
Vishwajeet Greens,2500000.0,402,1,2,Ambernath,Beyond Thane,19.1986487504664,73.2004913077756,Unfurnished,Apartment,0,9,6,Resale,Ready to Move,,GBK Group
Runwal MyCity,5500000.0,541,2,2,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,5,8,Resale,Ready to Move,,Runwal Group
Unkown,1600000.0,150,,,Vangani,Beyond Thane,19.0925602606021,73.2971135741545,Unfurnished,Commercial Shop,0,0,4,New Property,Ready to Move,,Unknown
Unkown,7500000.0,700,2,2,Kalyan West,Beyond Thane,19.2442606681675,73.123906730695,Semi-Furnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
JP Synergy,4000000.0,450,2,1,Ambernath East,Beyond Thane,19.2075883274914,73.1854898657514,Unfurnished,Apartment,0,18,1,Resale,Ready to Move,,JP Corp
Unkown,900000.0,,,,Vangani,Beyond Thane,19.0925602606021,73.2971135741545,Furnished,Commercial Shop,0,0,4,Resale,Ready to Move,,Unknown
Unkown,2750000.0,,1,1,Badlapur East,Beyond Thane,19.1639249,73.2459247,Semi-Furnished,Builder Floor Apartment,0,0,6,New Property,Ready to Move,,Unknown
Jewel Arista,4600000.0,,2,2,Badlapur,Beyond Thane,19.1639249,73.2459247,Unfurnished,Apartment,0,16,8,Resale,Ready to Move,,Jewel Builders and Infraprojects Ltd.
Unkown,10000000.0,900,3,3,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Semi-Furnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Unkown,2700000.0,,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Risali JP Symphony,2350000.0,385,1,1,Ambernath East,Beyond Thane,19.2075883274914,73.1854898657514,Semi-Furnished,Apartment,0,32,1,Resale,Ready to Move,,Risali Developers
Unkown,1200000.0,,,,Sagarli Gaon Dombivli East,Beyond Thane,19.21112486,73.10220178,Unfurnished,Commercial Shop,0,0,0,Resale,Ready to Move,,Unknown
Motiram Darshan,4200000.0,600,2,2,Ambernath East,Beyond Thane,19.2075883274914,73.1854898657514,Unfurnished,Apartment,0,0,1,Resale,Ready to Move,1 Open,Unknown
Unkown,1900000.0,,,,Kongaon,Beyond Thane,19.2488820895278,73.1078341740368,Unfurnished,Commercial Shop,0,0,0,Resale,Ready to Move,,Unknown
Lodha Casa Bella Gold,4200000.0,,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,20,5,Resale,Ready to Move,,Lodha Developers Limited
Unkown,2500000.0,270,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Semi-Furnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Precious Harmony,3400000.0,,1,1,Badlapur East,Beyond Thane,19.1639249,73.2459247,Semi-Furnished,Apartment,0,23,6,Resale,Ready to Move,,Precious Group
Unkown,2550000.0,515,1,1,Kasheli,Beyond Thane,19.2301651,73.0171568,Unfurnished,Residential House,0,0,2,Resale,Ready to Move,,Unknown
